epoch,epoch_time,lr-AdamW,step,train_loss,val_bits_per_spike,val_fr_corr,val_loss,val_r2
,,4.000000000000002e-06,0,,,,,
0,,,0,0.9524267911911011,,,,
,,4.000000777091677e-06,1,,,,,
0,,,1,0.9385743737220764,,,,
,,4.000003108366675e-06,2,,,,,
0,,,2,0.9189909100532532,,,,
,,4.0000069938249145e-06,3,,,,,
0,,,3,0.9049609899520874,,,,
,,4.000012433466287e-06,4,,,,,
0,,,4,0.8985094428062439,,,,
,,4.000019427290603e-06,5,,,,,
0,,,5,0.8756490349769592,,,,
,,4.0000279752976315e-06,6,,,,,
0,,,6,0.8719997406005859,,,,
,,4.000038077487102e-06,7,,,,,
0,,,7,0.8573935627937317,,,,
,,4.000049733858703e-06,8,,,,,
0,,,8,0.8406553268432617,,,,
,,4.000062944412028e-06,9,,,,,
0,,,9,0.8412532806396484,,,,
,,4.000077709146669e-06,10,,,,,
0,,,10,0.8138022422790527,,,,
,,4.00009402806214e-06,11,,,,,
0,,,11,0.8061014413833618,,,,
,,4.000111901157925e-06,12,,,,,
0,,,12,0.7964009046554565,,,,
,,4.000131328433428e-06,13,,,,,
0,,,13,0.7713128328323364,,,,
,,4.000152309888025e-06,14,,,,,
0,,,14,0.7902351021766663,,,,
,,4.000174845521039e-06,15,,,,,
0,,,15,0.784532904624939,,,,
,,4.000198935331738e-06,16,,,,,
0,,,16,0.7695656418800354,,,,
,,4.00022457931935e-06,17,,,,,
0,,,17,0.7318269610404968,,,,
,,4.000251777483034e-06,18,,,,,
0,,,18,0.7636332511901855,,,,
,,4.000280529821922e-06,19,,,,,
0,,,19,0.7268381118774414,,,,
,,4.000310836335067e-06,20,,,,,
0,,,20,0.7097238302230835,,,,
,,4.000342697021506e-06,21,,,,,
0,,,21,0.7280017733573914,,,,
,,4.000376111880182e-06,22,,,,,
0,,,22,0.7109455466270447,,,,
,,4.000411080910051e-06,23,,,,,
0,,,23,0.6696935296058655,,,,
,,4.000447604109934e-06,24,,,,,
0,,,24,0.6989688873291016,,,,
,,4.00048568147868e-06,25,,,,,
0,,,25,0.7433234453201294,,,,
,,4.000525313015068e-06,26,,,,,
0,,,26,0.6818111538887024,,,,
,,4.000566498717757e-06,27,,,,,
0,,,27,0.695865273475647,,,,
,,4.000609238585486e-06,28,,,,,
0,,,28,0.66884845495224,,,,
,,4.00065353261682e-06,29,,,,,
0,,,29,0.6979168057441711,,,,
,,4.000699380810361e-06,30,,,,,
0,,,30,0.6977012753486633,,,,
,,4.0007467831645925e-06,31,,,,,
0,,,31,0.6658535599708557,,,,
,,4.000795739677996e-06,32,,,,,
0,,,32,0.6709621548652649,,,,
,,4.0008462503489595e-06,33,,,,,
0,,,33,0.6686280369758606,,,,
,,4.000898315175897e-06,34,,,,,
0,,,34,0.6625210642814636,,,,
,,4.000951934157086e-06,35,,,,,
0,,,35,0.6356649398803711,,,,
,,4.0010071072908075e-06,36,,,,,
0,,,36,0.6545963883399963,,,,
,,4.001063834575271e-06,37,,,,,
0,,,37,0.6610965728759766,,,,
,,4.0011221160086345e-06,38,,,,,
0,,,38,0.6982753872871399,,,,
,,4.001181951589027e-06,39,,,,,
0,,,39,0.6323279142379761,,,,
,,4.00124334131447e-06,40,,,,,
0,,,40,0.6115095615386963,,,,
,,4.001306285183025e-06,41,,,,,
0,,,41,0.6756565570831299,,,,
,,4.0013707831926195e-06,42,,,,,
0,,,42,0.5861449241638184,,,,
,,4.001436835341179e-06,43,,,,,
0,,,43,0.6100461483001709,,,,
,,4.001504441626577e-06,44,,,,,
0,,,44,0.6413731575012207,,,,
,,4.001573602046603e-06,45,,,,,
0,,,45,0.6102735996246338,,,,
,,4.001644316599021e-06,46,,,,,
0,,,46,0.6221467852592468,,,,
,,4.0017165852815415e-06,47,,,,,
0,,,47,0.5914881825447083,,,,
,,4.001790408091847e-06,48,,,,,
0,,,48,0.602043628692627,,,,
,,4.00186578502751e-06,49,,,,,
0,,,49,0.5743905305862427,,,,
,,4.001942716086134e-06,50,,,,,
0,,,50,0.5757020115852356,,,,
,,4.002021201265197e-06,51,,,,,
0,,,51,0.5705543160438538,,,,
,,4.002101240562151e-06,52,,,,,
0,,,52,0.6120867133140564,,,,
,,4.002182833974421e-06,53,,,,,
0,,,53,0.6589050889015198,,,,
,,4.002265981499378e-06,54,,,,,
0,,,54,0.6021109223365784,,,,
,,4.002350683134285e-06,55,,,,,
0,,,55,0.5328415036201477,,,,
,,4.002436938876458e-06,56,,,,,
0,,,56,0.6841066479682922,,,,
,,4.002524748723064e-06,57,,,,,
0,,,57,0.5414360165596008,,,,
,,4.002614112671272e-06,58,,,,,
0,,,58,0.6664267778396606,,,,
,,4.00270503071818e-06,59,,,,,
0,,,59,0.6120179891586304,,,,
,,4.0027975028608486e-06,60,,,,,
0,,,60,0.6442659497261047,,,,
,,4.002891529096295e-06,61,,,,,
0,,,61,0.6597903966903687,,,,
,,4.0029871094214575e-06,62,,,,,
0,,,62,0.5498431921005249,,,,
,,4.003084243833259e-06,63,,,,,
0,,,63,0.5685462951660156,,,,
,,4.003182932328542e-06,64,,,,,
0,,,64,0.698813259601593,,,,
,,4.003283174904107e-06,65,,,,,
0,,,65,0.6319542527198792,,,,
,,4.003384971556717e-06,66,,,,,
0,,,66,0.659262478351593,,,,
,,4.003488322283091e-06,67,,,,,
0,,,67,0.5241175293922424,,,,
,,4.003593227079841e-06,68,,,,,
0,,,68,0.6360114812850952,,,,
,,4.003699685943606e-06,69,,,,,
0,,,69,0.6425665616989136,,,,
,,4.00380769887093e-06,70,,,,,
0,,,70,0.6349077820777893,,,,
,,4.0039172658583164e-06,71,,,,,
0,,,71,0.5927005410194397,,,,
,,4.0040283869022014e-06,72,,,,,
0,,,72,0.5970938205718994,,,,
,,4.00414106199902e-06,73,,,,,
0,,,73,0.6196309328079224,,,,
,,4.004255291145087e-06,74,,,,,
0,,,74,0.6099965572357178,,,,
,,4.004371074336729e-06,75,,,,,
0,,,75,0.5904581546783447,,,,
,,4.004488411570178e-06,76,,,,,
0,,,76,0.5292108058929443,,,,
,,4.004607302841666e-06,77,,,,,
0,,,77,0.6235546469688416,,,,
,,4.004727748147319e-06,78,,,,,
0,,,78,0.6036524176597595,,,,
,,4.004849747483232e-06,79,,,,,
0,,,79,0.617680549621582,,,,
,,4.004973300845475e-06,80,,,,,
0,,,80,0.5611753463745117,,,,
,,4.005098408230024e-06,81,,,,,
0,,,81,0.5769176483154297,,,,
,,4.005225069632853e-06,82,,,,,
0,,,82,0.5511969327926636,,,,
,,4.005353285049842e-06,83,,,,,
0,,,83,0.6185287237167358,,,,
,,4.005483054476844e-06,84,,,,,
0,,,84,0.6510379910469055,,,,
,,4.005614377909671e-06,85,,,,,
0,,,85,0.5710650682449341,,,,
,,4.005747255344055e-06,86,,,,,
0,,,86,0.5559655427932739,,,,
,,4.005881686775699e-06,87,,,,,
0,,,87,0.5485424399375916,,,,
,,4.0060176722002394e-06,88,,,,,
0,,,88,0.622074544429779,,,,
,,4.0061552116132986e-06,89,,,,,
0,,,89,0.5315195322036743,,,,
,,4.006294305010391e-06,90,,,,,
0,,,90,0.5397744178771973,,,,
,,4.00643495238703e-06,91,,,,,
0,,,91,0.5608501434326172,,,,
,,4.006577153738676e-06,92,,,,,
0,,,92,0.5734423398971558,,,,
,,4.006720909060707e-06,93,,,,,
0,,,93,0.563911497592926,,,,
,,4.006866218348476e-06,94,,,,,
0,,,94,0.6052366495132446,,,,
,,4.007013081597265e-06,95,,,,,
0,,,95,0.5660135746002197,,,,
,,4.007161498802318e-06,96,,,,,
0,,,96,0.4712338447570801,,,,
,,4.007311469958865e-06,97,,,,,
0,,,97,0.576856255531311,,,,
,,4.0074629950619984e-06,98,,,,,
0,,,98,0.5503578186035156,,,,
,,4.0076160741068405e-06,99,,,,,
0,,,99,0.6547294855117798,,,,
,,4.007770707088444e-06,100,,,,,
0,,,100,0.545251727104187,,,,
,,4.007926894001782e-06,101,,,,,
0,,,101,0.5010255575180054,,,,
,,4.008084634841812e-06,102,,,,,
0,,,102,0.5897004008293152,,,,
,,4.008243929603424e-06,103,,,,,
0,,,103,0.6044375896453857,,,,
,,4.008404778281429e-06,104,,,,,
0,,,104,0.5820868015289307,,,,
,,4.008567180870663e-06,105,,,,,
0,,,105,0.481502890586853,,,,
,,4.008731137365853e-06,106,,,,,
0,,,106,0.4889383614063263,,,,
,,4.008896647761688e-06,107,,,,,
0,,,107,0.5747380256652832,,,,
,,4.009063712052813e-06,108,,,,,
0,,,108,0.5706209540367126,,,,
,,4.009232330233795e-06,109,,,,,
0,,,109,0.5547937750816345,,,,
,,4.009402502299213e-06,110,,,,,
0,,,110,0.5476158261299133,,,,
,,4.009574228243523e-06,111,,,,,
0,,,111,0.5585087537765503,,,,
,,4.0097475080611955e-06,112,,,,,
0,,,112,0.5117611289024353,,,,
,,4.0099223417465934e-06,113,,,,,
0,,,113,0.5789693593978882,,,,
,,4.010098729294065e-06,114,,,,,
0,,,114,0.5508110523223877,,,,
,,4.010276670697905e-06,115,,,,,
0,,,115,0.5832896828651428,,,,
,,4.0104561659523396e-06,116,,,,,
0,,,116,0.6161215305328369,,,,
,,4.010637215051582e-06,117,,,,,
0,,,117,0.5368901491165161,,,,
,,4.010819817989737e-06,118,,,,,
0,,,118,0.5466679930686951,,,,
,,4.011003974760909e-06,119,,,,,
0,,,119,0.5073927640914917,,,,
,,4.011189685359135e-06,120,,,,,
0,,,120,0.5604126453399658,,,,
,,4.011376949778411e-06,121,,,,,
0,,,121,0.5141947269439697,,,,
,,4.011565768012652e-06,122,,,,,
0,,,122,0.5701335072517395,,,,
,,4.011756140055747e-06,123,,,,,
0,,,123,0.5549909472465515,,,,
,,4.011948065901555e-06,124,,,,,
0,,,124,0.5768026113510132,,,,
,,4.012141545543842e-06,125,,,,,
0,,,125,0.5757238268852234,,,,
,,4.012336578976361e-06,126,,,,,
0,,,126,0.4595606029033661,,,,
,,4.01253316619277e-06,127,,,,,
0,,,127,0.6078818440437317,,,,
,,4.012731307186711e-06,128,,,,,
0,,,128,0.545305073261261,,,,
,,4.012931001951789e-06,129,,,,,
0,,,129,0.4779042899608612,,,,
,,4.013132250481525e-06,130,,,,,
0,,,130,0.5631521940231323,,,,
,,4.013335052769414e-06,131,,,,,
0,,,131,0.5428164005279541,,,,
,,4.013539408808842e-06,132,,,,,
0,,,132,0.5638657212257385,,,,
,,4.013745318593264e-06,133,,,,,
