epoch,epoch_time,lr-SparseLamb/pg1,lr-SparseLamb/pg2,step,train_loss,val_loss,val_r2
,,0.002,0.002,0,,,
0,,,,0,6.887054443359375,,
,,0.002,0.002,1,,,
0,,,,1,3.875844717025757,,
,,0.002,0.002,2,,,
0,,,,2,2.5113770961761475,,
,,0.002,0.002,3,,,
0,,,,3,2.6727514266967773,,
,,0.002,0.002,4,,,
0,,,,4,4.2247209548950195,,
,,0.002,0.002,5,,,
0,,,,5,2.9171736240386963,,
,,0.002,0.002,6,,,
0,,,,6,3.3915488719940186,,
,,0.002,0.002,7,,,
0,,,,7,4.285897254943848,,
,,0.002,0.002,8,,,
0,,,,8,3.4180614948272705,,
,,0.002,0.002,9,,,
0,,,,9,4.948909282684326,,
,,0.002,0.002,10,,,
0,,,,10,4.186392307281494,,
,,0.002,0.002,11,,,
0,,,,11,6.798225402832031,,
,,0.002,0.002,12,,,
0,,,,12,5.545297145843506,,
,,0.002,0.002,13,,,
0,,,,13,7.019726276397705,,
,,0.002,0.002,14,,,
0,,,,14,5.069042682647705,,
,,0.002,0.002,15,,,
0,,,,15,6.121032238006592,,
,,0.002,0.002,16,,,
0,,,,16,4.582125186920166,,
,,0.002,0.002,17,,,
0,,,,17,4.783442497253418,,
,,0.002,0.002,18,,,
0,,,,18,3.89847993850708,,
,,0.002,0.002,19,,,
0,,,,19,4.4241180419921875,,
,,0.002,0.002,20,,,
0,,,,20,4.566788673400879,,
,,0.002,0.002,21,,,
0,,,,21,2.2809548377990723,,
,,0.002,0.002,22,,,
0,,,,22,4.1887407302856445,,
,,0.002,0.002,23,,,
0,,,,23,3.480518102645874,,
,,0.002,0.002,24,,,
0,,,,24,9.270748138427734,,
,,0.002,0.002,25,,,
0,,,,25,3.161316156387329,,
,,0.002,0.002,26,,,
0,,,,26,3.627440929412842,,
,,0.002,0.002,27,,,
0,,,,27,2.9945380687713623,,
,,0.002,0.002,28,,,
0,,,,28,3.1807281970977783,,
,,0.002,0.002,29,,,
0,,,,29,2.9185876846313477,,
,,0.002,0.002,30,,,
0,,,,30,3.855999708175659,,
,,0.002,0.002,31,,,
0,,,,31,2.16770601272583,,
,,0.002,0.002,32,,,
0,,,,32,3.871371030807495,,
,,0.002,0.002,33,,,
0,,,,33,3.7421560287475586,,
,,0.002,0.002,34,,,
0,,,,34,3.2508528232574463,,
,,0.002,0.002,35,,,
0,,,,35,4.888330936431885,,
,,0.002,0.002,36,,,
0,,,,36,3.3661088943481445,,
,,0.002,0.002,37,,,
0,,,,37,2.019552230834961,,
,,0.002,0.002,38,,,
0,,,,38,4.154044151306152,,
,,0.002,0.002,39,,,
0,,,,39,3.1804468631744385,,
,,0.002,0.002,40,,,
0,,,,40,3.800083875656128,,
,,0.002,0.002,41,,,
0,,,,41,2.5469536781311035,,
,,0.002,0.002,42,,,
0,,,,42,3.2998404502868652,,
,,0.002,0.002,43,,,
0,,,,43,3.7474517822265625,,
,,0.002,0.002,44,,,
0,,,,44,3.9709694385528564,,
,,0.002,0.002,45,,,
0,,,,45,3.6102497577667236,,
,,0.002,0.002,46,,,
0,,,,46,4.001862525939941,,
,,0.002,0.002,47,,,
0,,,,47,4.433697700500488,,
,,0.002,0.002,48,,,
0,,,,48,4.124400615692139,,
,,0.002,0.002,49,,,
0,,,,49,3.502518892288208,,
,,0.002,0.002,50,,,
0,,,,50,5.849637985229492,,
,,0.002,0.002,51,,,
0,,,,51,2.1744706630706787,,
,,0.002,0.002,52,,,
0,,,,52,3.147268056869507,,
,,0.002,0.002,53,,,
0,,,,53,6.766939640045166,,
,,0.002,0.002,54,,,
0,,,,54,2.2062222957611084,,
,,0.002,0.002,55,,,
0,,,,55,2.7161128520965576,,
,,0.002,0.002,56,,,
0,,,,56,2.1103055477142334,,
,,0.002,0.002,57,,,
0,,,,57,8.044271469116211,,
,,0.002,0.002,58,,,
0,,,,58,4.606468200683594,,
,,0.002,0.002,59,,,
0,,,,59,4.818183898925781,,
,,0.002,0.002,60,,,
0,,,,60,2.9196105003356934,,
,,0.002,0.002,61,,,
0,,,,61,4.270608425140381,,
,,0.002,0.002,62,,,
0,,,,62,5.506478309631348,,
,,0.002,0.002,63,,,
0,,,,63,4.499974250793457,,
,,0.002,0.002,64,,,
0,,,,64,3.4644105434417725,,
,,0.002,0.002,65,,,
0,,,,65,2.6475589275360107,,
,,0.002,0.002,66,,,
0,,,,66,10.5084810256958,,
,,0.002,0.002,67,,,
0,,,,67,3.0264711380004883,,
,,0.002,0.002,68,,,
0,,,,68,2.5920090675354004,,
,,0.002,0.002,69,,,
0,,,,69,3.964320182800293,,
,,0.002,0.002,70,,,
0,,,,70,3.9902830123901367,,
,,0.002,0.002,71,,,
0,,,,71,3.230835437774658,,
,,0.002,0.002,72,,,
0,,,,72,4.918793201446533,,
,,0.002,0.002,73,,,
0,,,,73,3.313549041748047,,
,,0.002,0.002,74,,,
0,,,,74,2.974768877029419,,
,,0.002,0.002,75,,,
